CB_0_closed,CB_1_closed,CB_2_closed,CB_3_closed,CB_4_closed,CB_5_closed,CB_6_closed,CB_7_closed,CB_8_closed,CB_9_closed,CB_10_closed,CB_11_closed,CB_12_closed,CB_13_closed,CB_14_closed,CB_15_closed,CB_16_closed,CB_17_closed,CB_18_closed,CB_19_closed,CB_20_closed,CB_21_closed,CB_151_closed,CB_152_closed,CB_153_closed,CB_158_closed,CB_22_closed,CB_23_closed,CB_24_closed,CB_25_closed,CB_171_closed,CB_172_closed,CB_173_closed,CB_178_closed,load_0::p,load_0::q,load_1::p,load_1::q,load_2::p,load_2::q,load_3::p,load_3::q,load_4::p,load_4::q,load_5::p,load_5::q,load_6::p,load_6::q,load_7::p,load_7::q,load_8::p,load_8::q,load_9::p,load_9::q,load_10::p,load_10::q,load_11::p,load_11::q,load_12::p,load_12::q,load_13::p,load_13::q,load_14::p,load_14::q,load_15::p,load_15::q,load_16::p,load_16::q,load_17::p,load_17::q,trafo_0_in_service,trafo_1_in_service,trafo_2_in_service,trafo_3_in_service,trafo_4_in_service,trafo_5_in_service,feeder_0_in_service,feeder_1_in_service,total_init_load,anomaly,reason
0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2.1709,0.4342,0.0,0.0,2.4349,0.2705,3.665,0.9162,2.2344,0.5586,2.6227,0.2623,2.1288,0.4258,2.9992,0.818,1.8678,0.2075,2.6183,0.6546,1.8884,0.4721,2.5213,0.2521,1.9863,0.4414,2.5695,0.2141,0.0,0.0,2.3308,0.6357,2.4638,0.2738,2.4046,0.6012,1,0,1,1,0,1,0,1,38.90668284103984,1,Lines over 80%
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,2.8035,0.5607,2.3423,0.6388,1.8179,0.202,3.0221,0.7555,0.0,0.0,3.0793,0.3079,2.0451,0.409,2.4124,0.6579,2.6976,0.2997,2.8588,0.7147,2.3617,0.5904,0.0,0.0,2.2758,0.5057,3.3808,0.2817,2.6422,0.5284,2.4508,0.6684,2.3676,0.2631,0.0,0.0,1,0,1,1,0,1,1,1,38.55781370326096,1,Lines over 80%
1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,2.0552,0.411,2.9363,0.8008,2.1429,0.2381,2.9953,0.7488,2.2803,0.5701,2.262,0.2262,2.7853,0.5571,2.7982,0.7631,2.0733,0.2304,2.6076,0.6519,2.3195,0.5799,2.0688,0.2069,2.1802,0.4845,2.5505,0.2125,3.0175,0.6035,3.0668,0.8364,2.7127,0.3014,3.6837,0.9209,1,1,1,0,1,1,1,0,46.535943074607076,1,Transformers over 80%
1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,2.0529,0.4106,2.4811,0.6767,2.0515,0.2279,2.3836,0.5959,2.1594,0.5398,0.0,0.0,2.2312,0.4462,2.9641,0.8084,1.9676,0.2186,3.3419,0.8355,2.2979,0.5745,1.992,0.1992,1.9101,0.4245,3.4607,0.2884,2.251,0.4502,2.6745,0.7294,2.651,0.2946,3.4884,0.8721,1,1,1,1,1,0,1,1,42.35883893427065,0,No anomaly
1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1.9674,0.3935,2.5414,0.6931,0.0,0.0,2.6674,0.6668,1.7909,0.4477,2.5436,0.2544,2.0822,0.4164,2.8465,0.7763,2.075,0.2306,2.5802,0.645,0.0,0.0,2.589,0.2589,2.709,0.602,3.5187,0.2932,2.2463,0.4493,2.3397,0.6381,2.1299,0.2367,2.4368,0.6092,1,0,1,0,1,0,1,0,39.064007811156614,1,Lines over 80%
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,2.1666,0.4333,2.7275,0.7439,1.9191,0.2132,3.0929,0.7732,2.3235,0.5809,2.068,0.2068,2.314,0.4628,2.445,0.6668,1.9382,0.2154,2.3629,0.5907,1.899,0.4747,1.9722,0.1972,2.1484,0.4774,2.937,0.2448,2.8573,0.5715,2.3767,0.6482,2.0958,0.2329,0.0,0.0,0,1,0,1,1,1,0,1,39.64420151384603,1,Lines over 80%
1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0.0,0.0,2.9041,0.792,2.7269,0.303,0.0,0.0,1.5923,0.3981,1.9969,0.1997,2.4777,0.4955,2.6322,0.7179,2.2757,0.2529,3.5576,0.8894,0.0,0.0,2.2364,0.2236,2.4531,0.5451,2.4012,0.2001,2.0781,0.4156,2.4296,0.6626,2.6734,0.297,0.0,0.0,0,1,1,1,1,1,1,1,34.435321193804846,1,Lines over 80%
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2.3716,0.4743,2.4553,0.6696,2.166,0.2407,3.4763,0.8691,1.9657,0.4914,2.3827,0.2383,2.358,0.4716,2.3839,0.6502,1.7845,0.1983,0.0,0.0,2.1365,0.5341,2.4471,0.2447,1.8774,0.4172,3.526,0.2938,2.6547,0.5309,2.5928,0.7071,2.4139,0.2682,2.657,0.6642,0,1,0,1,1,1,1,1,41.649373392735164,1,Lines over 80%
1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2.5284,0.5057,2.353,0.6417,2.6799,0.2978,3.2372,0.8093,2.3122,0.578,2.2187,0.2219,2.8155,0.5631,3.2179,0.8776,2.4749,0.275,3.4921,0.873,0.0,0.0,2.9418,0.2942,2.4322,0.5405,2.7727,0.2311,2.9361,0.5872,2.7317,0.745,2.5213,0.2801,2.7079,0.677,0,1,0,1,1,0,1,0,46.373505336174624,1,Lines over 80%
1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,2.8855,0.5771,3.0896,0.8426,0.0,0.0,3.1489,0.7872,2.0815,0.5204,0.0,0.0,2.3002,0.46,2.9021,0.7915,1.8068,0.2008,3.4984,0.8746,0.0,0.0,2.2945,0.2294,2.2745,0.5054,3.3947,0.2829,2.8913,0.5783,2.9907,0.8156,2.0873,0.2319,3.5046,0.8762,0,1,1,1,1,0,1,0,41.15053539040336,1,Lines over 80%
